"filename", "language", "Markdown", "Python", "R", "comment", "blank", "total"
"d:\研究生\singleCell\workspace\code-summary\CCI\cellchat\post-process\分离P和V.py", "Python", 0, 7, 0, 0, 3, 10
"d:\研究生\singleCell\workspace\code-summary\CCI\module\module-score.py", "Python", 0, 33, 0, 0, 5, 38
"d:\研究生\singleCell\workspace\code-summary\CCI\module\module_cellpercent_score.py", "Python", 0, 75, 0, 2, 6, 83
"d:\研究生\singleCell\workspace\code-summary\CCI\module\module_gene_score.py", "Python", 0, 52, 0, 4, 11, 67
"d:\研究生\singleCell\workspace\code-summary\CCI\process\module_split.py", "Python", 0, 21, 0, 0, 3, 24
"d:\研究生\singleCell\workspace\code-summary\CCI\process\spearman_select.py", "Python", 0, 52, 0, 1, 6, 59
"d:\研究生\singleCell\workspace\code-summary\CCI\select.py", "Python", 0, 19, 0, 3, 16, 38
"d:\研究生\singleCell\workspace\code-summary\CCI\selected_pipe.py", "Python", 0, 0, 0, 0, 1, 1
"d:\研究生\singleCell\workspace\code-summary\CCI\属于每个大类的细胞比例.py", "Python", 0, 35, 0, 4, 8, 47
"d:\研究生\singleCell\workspace\code-summary\CCI\网络图-按模块.md", "Markdown", 64, 0, 0, 0, 9, 73
"d:\研究生\singleCell\workspace\code-summary\CCI\网络图.md", "Markdown", 37, 0, 0, 0, 4, 41
"d:\研究生\singleCell\workspace\code-summary\cell_percent\apoe_percent.py", "Python", 0, 52, 0, 4, 4, 60
"d:\研究生\singleCell\workspace\code-summary\diff_compare\Macro_SPP1.r", "R", 0, 0, 75, 13, 6, 94
"d:\研究生\singleCell\workspace\code-summary\gene_percent_corr\details\details.py", "Python", 0, 71, 0, 12, 26, 109
"d:\研究生\singleCell\workspace\code-summary\gene_percent_corr\percent.py", "Python", 0, 14, 0, 2, 5, 21
"d:\研究生\singleCell\workspace\code-summary\monocle\monocle-bug.md", "Markdown", 128, 0, 0, 0, 4, 132
"d:\研究生\singleCell\workspace\code-summary\plot\散点图\module.r", "R", 0, 0, 58, 8, 12, 78
"d:\研究生\singleCell\workspace\code-summary\plot\箱线图\readme.md", "Markdown", 0, 0, 0, 0, 1, 1
"d:\研究生\singleCell\workspace\code-summary\ssgsea\corr.md", "Markdown", 12, 0, 0, 0, 0, 12
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI\cellphonedb.md", "Markdown", 54, 0, 0, 0, 10, 64
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI\数据处理步骤.md", "Markdown", 8, 0, 0, 0, 0, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_an_sheet\pathway_diff_boxplot\pathway_diff.py", "Python", 0, 20, 0, 0, 8, 28
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_an_sheet\pathway_t_corr.md", "Markdown", 67, 0, 0, 0, 8, 75
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_an_sheet\气泡图.md", "Markdown", 75, 0, 0, 0, 13, 88
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_res\t-1-tcga.md", "Markdown", 119, 0, 0, 0, 35, 154
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_res\t-4-gene-diff.md", "Markdown", 89, 0, 0, 0, 27, 116
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_res\t-target\t-target-an-gene.md", "Markdown", 142, 0, 0, 0, 38, 180
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\CCI_res\t-target\t-target-an-tcga.md", "Markdown", 115, 0, 0, 0, 36, 151
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\TCGA.py", "Python", 0, 69, 0, 10, 20, 99
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\TCGA_heatmap.md", "Markdown", 93, 0, 0, 0, 22, 115
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 67, 0, 0, 3, 70
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 67, 0, 0, 3, 70
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\cci_bubble\cellchat.md", "Markdown", 108, 0, 0, 0, 12, 120
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\cci_bubble\cellphonedb.md", "Markdown", 109, 0, 0, 0, 11, 120
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\corr_heatmap\corr.py", "Python", 0, 15, 0, 0, 4, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 115, 0, 2, 7, 124
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 77, 0, 0, 0, 6, 83
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\gene_expr_corr.md", "Markdown", 90, 0, 0, 0, 12, 102
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 29, 0, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gsva_an\gsva_an.py", "Python", 0, 18, 0, 0, 10, 28
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\t-target-an-tcga.md", "Markdown", 111, 0, 0, 0, 39, 150
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\end\score.md", "Markdown", 20, 0, 0, 0, 4, 24
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\epi\score.md", "Markdown", 20, 0, 0, 0, 4, 24
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\fib\score.md", "Markdown", 20, 0, 0, 0, 4, 24
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\gsva\gsva.py", "Python", 0, 10, 0, 0, 4, 14
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\heatmap修正.py", "Python", 0, 7, 0, 0, 0, 7
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\mye\score.md", "Markdown", 18, 0, 0, 0, 3, 21
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\score.md", "Markdown", 120, 0, 0, 0, 18, 138
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\score_range.md", "Markdown", 123, 0, 0, 0, 18, 141
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\subTME_heatmap\gene_expr-CAF.md", "Markdown", 85, 0, 0, 0, 13, 98
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\subTME_heatmap\gene_expr-TAM.md", "Markdown", 79, 0, 0, 0, 12, 91
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\tnk\score.md", "Markdown", 18, 0, 0, 0, 3, 21
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\合并&细胞比例.py", "Python", 0, 61, 0, 6, 13, 80
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\生存分析.md", "Markdown", 143, 0, 0, 0, 25, 168
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI\cellphonedb.md", "Markdown", 55, 0, 0, 0, 11, 66
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI\数据处理步骤.md", "Markdown", 8, 0, 0, 0, 0, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_an_sheet\pathway_diff_boxplot\pathway_diff.py", "Python", 0, 21, 0, 0, 8, 29
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_an_sheet\pathway_t_corr.md", "Markdown", 78, 0, 0, 0, 7, 85
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_an_sheet\气泡图.md", "Markdown", 75, 0, 0, 0, 12, 87
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_res\t-1-tcga.md", "Markdown", 130, 0, 0, 0, 36, 166
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_res\t-4-gene_diff.md", "Markdown", 128, 0, 0, 0, 41, 169
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_res\t-target\t-target-an-gene.md", "Markdown", 142, 0, 0, 0, 38, 180
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_res\t-target\t-target-an-tcga.md", "Markdown", 111, 0, 0, 0, 36, 147
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\CCI_res\获得需要的基因.py", "Python", 0, 18, 0, 0, 4, 22
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\TCGA.py", "Python", 0, 78, 0, 13, 24, 115
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\TCGA_heatmap.md", "Markdown", 71, 0, 0, 0, 14, 85
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 77, 0, 0, 3, 80
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 77, 0, 0, 2, 79
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\cci_bubble\cellchat.md", "Markdown", 110, 0, 0, 0, 9, 119
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\cci_bubble\cellphonedb.md", "Markdown", 109, 0, 0, 0, 9, 118
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\corr_heatmap\corr.py", "Python", 0, 15, 0, 0, 4, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\corr_heatmap\expr_fib.md", "Markdown", 6, 0, 0, 0, 0, 6
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 116, 0, 2, 7, 125
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 78, 0, 0, 0, 6, 84
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\gene_expr_corr.md", "Markdown", 93, 0, 0, 0, 10, 103
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 30, 0, 0, 4, 34
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gsva_an\gsva_an.py", "Python", 0, 16, 0, 0, 7, 23
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\t-target-an-tcga.md", "Markdown", 97, 0, 0, 0, 36, 133
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\end\score.md", "Markdown", 19, 0, 0, 0, 3, 22
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\epi\score.md", "Markdown", 19, 0, 0, 0, 3, 22
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\fib\score.md", "Markdown", 19, 0, 0, 0, 3, 22
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\gsva\gsva.py", "Python", 0, 10, 0, 0, 4, 14
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\heatmap修正.py", "Python", 0, 9, 0, 0, 1, 10
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\mye\score.md", "Markdown", 62, 0, 0, 0, 9, 71
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\score.md", "Markdown", 112, 0, 0, 0, 16, 128
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\subTME_heatmap\gene_expr-CAFy.md", "Markdown", 88, 0, 0, 0, 18, 106
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\subTME_heatmap\gene_expr-TAM.md", "Markdown", 79, 0, 0, 0, 15, 94
